,"Woman, White","Woman, Asian","Woman, Hispanics of any race","Woman, Black or African American","Woman, American Indian or Alaska Native","Man, White","Man, Asian","Man, Hispanics of any race","Man, Black or African American","Man, Two or more races","Man, American Indian or Alaska Native"
aidekman,26,1,0,0,0,175,2,9,5,0,0
anderson,0,0,0,0,0,2,0,0,0,0,0
ballou,4,0,0,0,0,26,0,0,2,0,0
capen_house,0,0,0,0,0,0,0,0,1,0,0
clic,1,0,0,0,0,0,0,0,0,0,0
dental_school,0,0,0,0,0,5,0,0,0,0,0
eaton_hall,0,0,0,0,0,1,0,0,0,0,0
fine_arts_house,0,0,0,0,0,3,0,0,0,0,0
gifford_house,4,0,0,0,0,19,0,0,1,0,0
goddard_chapel,1,0,0,0,0,11,0,0,0,0,0
goddard_hall,0,0,0,0,0,2,0,0,0,0,0
granoff_fam_hillel_center,0,0,0,0,0,1,0,0,0,0,0
granoff_music_bld,1,0,0,0,0,3,1,0,0,0,0
houston_hall,1,0,0,0,0,0,0,0,0,0,0
jean_mayer_hnra_center,1,0,0,0,0,0,0,0,0,0,0
lane_hall,0,0,0,0,0,1,0,0,0,0,0
miner_hall,0,0,0,0,0,1,0,0,0,0,0
packard_hall,0,0,0,0,0,3,0,0,0,0,0
smfa,0,0,0,0,0,2,0,0,0,0,0
sophia_gordon_hall,0,0,0,0,0,1,0,0,0,0,0
tisch_library,12,0,0,0,0,26,0,9,4,0,0
univ_advancement,0,1,0,0,0,3,0,0,0,0,0
